program_id	g_ERP	g_GSE	mean_g	min_g	both_positive	both_ge_corresponding_AF35
RANDOM_1700	0.0810086930250592	0.23452415818524	0.15776642560514959	0.0810086930250592	True	False
RANDOM_1701	0.152195499302384	0.31370478285624	0.232950141079312	0.152195499302384	True	False
RANDOM_1702	0.0690889909543503	0.203024401986188	0.13605669647026916	0.0690889909543503	True	False
RANDOM_1703	-0.339630352966917	0.122406119036576	-0.10861211696517051	-0.339630352966917	False	False
RANDOM_1704	0.29996664588542	0.168136068125702	0.234051357005561	0.168136068125702	True	False
RANDOM_1705	-0.059188337147742	0.0199741188978892	-0.0196071091249264	-0.059188337147742	False	False
RANDOM_1706	0.219212100695383	-0.0085698025611413	0.10532114906712085	-0.0085698025611413	False	False
RANDOM_1707	-0.0670758242294757	-0.032082915447516	-0.04957936983849585	-0.0670758242294757	False	False
RANDOM_1708	0.254636107170524	-0.113238720587694	0.07069869329141498	-0.113238720587694	False	False
RANDOM_1709	-0.0862096618019398	-0.247875184480574	-0.1670424231412569	-0.247875184480574	False	False
RANDOM_1710	0.413056826100898	0.211373733331014	0.312215279715956	0.211373733331014	True	False
RANDOM_1711	0.422776446764066	0.111401761461715	0.2670891041128905	0.111401761461715	True	False
RANDOM_1712	0.278234418724827	0.245695772043923	0.261965095384375	0.245695772043923	True	False
RANDOM_1713	0.081126406869075	-0.102341800320228	-0.010607696725576495	-0.102341800320228	False	False
RANDOM_1714	0.340409740264227	-0.0854465391579811	0.12748160055312294	-0.0854465391579811	False	False
RANDOM_1715	-0.155333023927129	-0.453742243781805	-0.30453763385446697	-0.453742243781805	False	False
RANDOM_1716	0.249548296326441	0.159473242991447	0.204510769658944	0.159473242991447	True	False
RANDOM_1717	0.437969810054566	-0.0454119246739373	0.19627894269031435	-0.0454119246739373	False	False
RANDOM_1718	0.527433688445279	0.0927879174153544	0.31011080293031673	0.0927879174153544	True	False
RANDOM_1719	0.527043848597912	0.361836662330392	0.444440255464152	0.361836662330392	True	False
RANDOM_1720	0.480458397712532	0.107961238177417	0.2942098179449745	0.107961238177417	True	False
RANDOM_1721	-0.101101533245546	-0.0197123699587206	-0.060406951602133295	-0.101101533245546	False	False
RANDOM_1722	-0.210774871197035	0.216190142413122	0.0027076356080435043	-0.210774871197035	False	False
RANDOM_1723	0.200690002773428	0.270592338780282	0.23564117077685498	0.200690002773428	True	False
RANDOM_1724	-0.691457485262573	-0.0958041154294396	-0.3936308003460063	-0.691457485262573	False	False
RANDOM_1725	0.353433784505959	0.0006147139002096	0.17702424920308432	0.0006147139002096	True	False
RANDOM_1726	-0.310687694414005	-0.0302084727417102	-0.1704480835778576	-0.310687694414005	False	False
RANDOM_1727	0.191443694617095	0.004884186935815	0.098163940776455	0.004884186935815	True	False
RANDOM_1728	0.0983492218936775	0.201221285844152	0.14978525386891475	0.0983492218936775	True	False
RANDOM_1729	0.307833954551498	-0.153390849279867	0.0772215526358155	-0.153390849279867	False	False
RANDOM_1730	0.391831653599704	0.146987201981696	0.2694094277907	0.146987201981696	True	False
RANDOM_1731	0.566659461645834	0.0828009210400586	0.32473019134294634	0.0828009210400586	True	False
RANDOM_1732	0.214336056096052	-0.275825296140724	-0.030744620022335994	-0.275825296140724	False	False
RANDOM_1733	-0.220309568528281	-0.0767104366247659	-0.14851000257652347	-0.220309568528281	False	False
RANDOM_1734	0.608707657768521	0.0540884082815279	0.33139803302502446	0.0540884082815279	True	False
RANDOM_1735	0.350918583775874	-0.184119759116122	0.083399412329876	-0.184119759116122	False	False
RANDOM_1736	-0.12318636967385	0.192142112305129	0.03447787131563951	-0.12318636967385	False	False
RANDOM_1737	0.356100523114283	0.247131639643627	0.301616081378955	0.247131639643627	True	False
RANDOM_1738	0.392950526702824	0.208676473311676	0.30081350000725	0.208676473311676	True	False
RANDOM_1739	0.0759956354938848	0.207834434018541	0.1419150347562129	0.0759956354938848	True	False
RANDOM_1740	0.318770815041938	0.151254138350087	0.2350124766960125	0.151254138350087	True	False
RANDOM_1741	0.383619501917544	-0.0186876766625166	0.18246591262751372	-0.0186876766625166	False	False
RANDOM_1742	-0.0297513427932609	0.401647472422675	0.18594806481470705	-0.0297513427932609	False	False
RANDOM_1743	-0.217633908840621	0.250730246223855	0.016548168691616988	-0.217633908840621	False	False
RANDOM_1744	0.508550209139826	0.0328165116054724	0.2706833603726492	0.0328165116054724	True	False
