dataset	state	state_order	marker	marker_order	marker_block	n_patients	total_cells	patient_median_mean_log1p_cp10k	patient_q25_mean_log1p_cp10k	patient_q75_mean_log1p_cp10k	patient_median_positive_fraction	patient_q25_positive_fraction	patient_q75_positive_fraction	patient_median_pseudobulk_log2_cpm	aggregation	response_used_in_summary	biological_unit	within_marker_z
GSE206325	CD8_effector	2	CH25H	25	Tfh_support	24	24553	0.0641349853950664	0.0349517713829272	0.0933361225122538	0.0404555848724714	0.0215109915169206	0.0540247252747253	4.23100804757229	unweighted median across eligible patient-state rows	FALSE	patient	-0.625828337591317
GSE206325	CD8_effector	2	ICOS	26	Tfh_support	24	24553	0.319110251689225	0.18886373332034	0.418843384570948	0.211498645510836	0.107956725362827	0.291392821031345	6.48484869444137	unweighted median across eligible patient-state rows	FALSE	patient	-0.948024142661839
GSE206325	CD8_effector	2	TOX2	27	Tfh_support	24	24553	0.1024334290755	0.0475396949386016	0.167325741853559	0.0763020534587587	0.0301308831306187	0.116783408245682	4.69405891683671	unweighted median across eligible patient-state rows	FALSE	patient	-1.7392664148722
GSE206325	CD8_effector	2	FOXP3	28	Regulatory	24	24553	0.00418754002768778	0.00087318202107786	0.00574582725897847	0.00308644915456061	0.000898203592814371	0.00494388362906765	0.971626020628486	unweighted median across eligible patient-state rows	FALSE	patient	-0.509461778828338
GSE206325	CD8_effector	2	IL2RA	29	Regulatory	24	24553	0.00358189770429372	0.00138785981748069	0.00838664912542443	0.00283333465980087	0.000862880593862217	0.00682642973345013	0.883628868351849	unweighted median across eligible patient-state rows	FALSE	patient	-0.576433187038957
GSE206325	CD8_effector	2	CTLA4	30	Regulatory	24	24553	0.192017179227436	0.107705845024034	0.275709024762467	0.124864060052892	0.079658325619993	0.171445265970006	5.63374076729121	unweighted median across eligible patient-state rows	FALSE	patient	-1.62640966945159
GSE206325	CD8_effector	2	TNFRSF18	31	Regulatory	24	24553	0.0178565945788209	0.00717087556119908	0.0250595204492399	0.0113290157803521	0.00483676172666355	0.0185841924398625	2.65765837235849	unweighted median across eligible patient-state rows	FALSE	patient	-1.01042545572576
GSE206325	CD8_effector	2	IKZF2	32	Regulatory	24	24553	0.0542794778283326	0.0328167047458206	0.0695742019188062	0.038235107509108	0.0223534405273145	0.0535104166666667	3.72653169086832	unweighted median across eligible patient-state rows	FALSE	patient	-0.509792759099075
GSE206325	CD8_terminal_exhausted	3	TCF7	1	Progenitor_memory	20	15864	0.0326795048383717	0.0151439286258055	0.0757127465949263	0.0281572068307943	0.018265045633013	0.0612771739130435	3.33794988187553	unweighted median across eligible patient-state rows	FALSE	patient	-0.869130470525251
GSE206325	CD8_terminal_exhausted	3	CCR7	2	Progenitor_memory	20	15864	0.0188284094631823	0	0.0406392215328698	0.0165724544937429	0	0.0266499125874126	2.50551790085837	unweighted median across eligible patient-state rows	FALSE	patient	-1.08345118784332
GSE206325	CD8_terminal_exhausted	3	LEF1	3	Progenitor_memory	20	15864	0.0815680341862083	0.0423139965178479	0.10712481216494	0.0667109929078014	0.0380237806891996	0.100510204081633	4.62599106347702	unweighted median across eligible patient-state rows	FALSE	patient	-0.901364905626463
GSE206325	CD8_terminal_exhausted	3	IL7R	4	Progenitor_memory	20	15864	0.621844517350206	0.390659914151333	1.0356522391681	0.289915966386555	0.182024944974321	0.483340430061742	8.25720364093548	unweighted median across eligible patient-state rows	FALSE	patient	-0.615648296743863
