gene_i	gene_j	ERP117672	GSE302495
CD247	LCK	0.7563025210084033	0.8450596345333188
CD247	FYN	0.480952380952381	0.6041142356931831
CD247	ZAP70	0.7661064425770309	0.6890250574461101
CD247	LAT	0.6131652661064425	0.4273550184084933
CD247	LCP2	0.6210084033613446	0.6610132399606083
CD247	TRAT1	0.6349184132104905	0.6122114016850859
CD247	NFKB1	0.2994397759103642	0.3854907539118066
CD247	REL	0.2859943977591036	0.5566254513622934
CD247	RELA	0.11344537815126052	-0.3445672393040814
CD247	NFKBIA	0.4932773109243698	0.3949009738483423
CD247	TNFAIP3	0.44817927170868344	0.4244446876025823
CD247	STAT1	0.6997198879551821	0.34850640113798004
CD247	IRF1	0.7792717086834735	0.6001750738592844
CD247	IFIT1	0.126890756302521	-0.0370937739358792
CD247	IFIT2	0.23977591036414567	0.1535178903599956
CD247	IFIT3	0.34369747899159664	0.24871430134588027
CD247	ISG15	0.35406162464986	-0.09289856658277709
CD247	MX1	0.30336134453781516	0.2743188532662217
CD247	OAS1	0.42044817927170874	0.5279571069044754
CD247	CXCL9	0.5991596638655462	0.4294780610570084
CD247	CXCL10	0.49887955182072835	0.2318634423897582
CD247	IFNG	0.6290277635538842	0.424690801408034
CD247	TNF	0.6570429083519876	0.4662435715067294
CD247	CCL5	0.7498599439775911	0.6516030200240727
CD247	NKG7	0.5305322128851541	0.4596783017835649
CD247	PRF1	0.7509803921568629	0.720319509793194
CD247	GZMB	0.6725490196078432	0.7570850202429149
CD247	PDCD1	0.5196078431372549	0.46055367107998685
CD247	LAG3	0.5823529411764706	0.5575008206587154
CD247	TIGIT	0.6470588235294118	0.5130758288653026
CD247	TOX	0.7061624649859944	0.43451143451143454
LCK	FYN	0.5991596638655462	0.6688915636284057
LCK	ZAP70	0.7596638655462186	0.7855345223766276
LCK	LAT	0.7568627450980393	0.2210150303319679
LCK	LCP2	0.8022408963585435	0.7704344020133495
LCK	TRAT1	0.7067721846591959	0.5852937958201115
LCK	NFKB1	0.43641456582633054	0.43976365028996606
LCK	REL	0.22072829131652663	0.48572053835211726
LCK	RELA	0.050700280112044825	-0.34675566254513623
LCK	NFKBIA	0.42044817927170874	0.2776014881278039
LCK	TNFAIP3	0.6408963585434174	0.397089397089397
LCK	STAT1	0.7232492997198879	0.5054163475216107
LCK	IRF1	0.757983193277311	0.5305832147937412
LCK	IFIT1	0.005882352941176471	-0.007987744829850093
LCK	IFIT2	0.20840336134453782	0.2997045628624576
LCK	IFIT3	0.3058823529411765	0.3338439654229128
LCK	ISG15	0.3700280112044818	0.028777765619870888
LCK	MX1	0.23753501400560226	0.3091147827989933
LCK	OAS1	0.3394957983193278	0.513732355837619
LCK	CXCL9	0.6397759103641457	0.5962359120253857
LCK	CXCL10	0.6252100840336134	0.48856548856548854
LCK	IFNG	0.6674138676104019	0.5425570129930338
LCK	TNF	0.7192713749279865	0.62315351789036
LCK	CCL5	0.7775910364145658	0.786628733997155
LCK	NKG7	0.6829131652661065	0.5739139949666265
LCK	PRF1	0.6955182072829132	0.7864098916730496
LCK	GZMB	0.577310924369748	0.7292920450815188
