released_t_cell_state	TCR_activation	cytotoxicity	exhaustion
CD8_C10_SLC4A10	-0.827763543402	0.321550829794	-0.147620733478
CD4_C03_CD44	0.052169798723	-0.647168521725	-0.232777149109
CD4_C01_CCR7	0.0209998138506	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	0.040220709641	-0.4691799101	-0.0621158098578
CD4_C01_CCR7	-0.0823065761149	-0.647168521725	-0.352763613388
CD4_C08_FOXP3	-0.103580437321	-0.558435120468	-0.0892571619661
CD4_C01_CCR7	-0.835377061388	-0.481837700407	-0.138237149579
CD4_C05_GNLY	0.475387219938	0.874599421551	-0.352763613388
CD4_C01_CCR7	0.234448194731	-0.438726169301	-0.352763613388
CD8_C03_CX3CR1	0.277390036274	1.05391987003	0.0334813248565
CD4_C08_FOXP3	0.351732328961	-0.647168521725	0.166074594723
CD8_C01_LEF1	0.0549655039391	-0.647168521725	-0.191740314094
CD4_C01_CCR7	-0.108459066683	-0.582325889631	-0.0789323301589
CD4_C01_CCR7	-0.184626433723	-0.647168521725	-0.352763613388
CD4_C01_CCR7	-0.236769177652	-0.522344016555	-0.352763613388
CD4_C03_CD44	-0.331984233114	-0.647168521725	-0.0897945052352
CD4_C02_IL7R	-0.149152981916	-0.254050108571	-0.0950043303504
CD4_C03_CD44	-0.0354451545827	-0.302039436752	-0.0447815704365
CD4_C03_CD44	-0.234843812076	-0.576106475135	-0.352763613388
CD4_C03_CD44	-0.547703927091	-0.459535471556	-0.352763613388
CD8_C06_IKZF2	-0.416210933228	0.980077606202	-0.180387131617
CD8_C01_LEF1	0.274022432963	-0.570394626649	-0.352763613388
CD8_C02_GPR183	-0.232624749059	-0.647168521725	-0.352763613388
