cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	zero_count_spot	inference_unit
Wu_Zenodo_19123188	U001	Responder	578	1318	0	0	0.678951828686487	1.6094379124341	1.6094379124341	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1619	1801	0.305972035305943	0.652582584012792	-0.116710296038759	11.3460086436133	9.26936371242564	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1606	1482	0.218514906877298	0.462769461933241	-0.583947301119122	11.6679529031896	9.27265767804104	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1726	1688	0.163972505621892	0.236630384701099	0.0467211885386426	10.6988753870426	8.94910546953925	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1749	1837	0.195381016984523	0.308455879100335	-0.156979398083205	12.1565672256263	9.33467964623179	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1705	1763	0.190020083573705	0.291864729179328	-0.23541143245445	12.5425734531718	9.36845461506987	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1563	1520	0.207530628768925	0.35057095678547	-0.109661403414937	11.7534294481613	9.2679486845965	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1704	1576	0.211989010084032	0.351135876291601	0.0689444450136422	11.287592017583	9.20542832761516	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	453	2517	0	0	0.894795067993797	0.693147180559945	0.693147180559945	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1682	1501	0.21315275447191	0.296108985020448	0.25197318095288	12.0833794497437	9.35599794439855	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1738	1781	0.244363288600687	0.527058726618182	-0.647138188308079	12.2597034557975	9.3637479186055	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1661	1576	0.252862155106372	0.47911988945582	0.0028916849965561	11.3357347230053	9.2057297594185	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1652	1894	0.371696617966572	0.634367471986221	1.0746773697911	11.7778479927514	9.33441468707811	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1661	1501	0.2253891690412	0.328975786334189	0.274918920562221	12.0559007066718	9.34775172779914	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1650	1594	0.214740960219449	0.46819299109842	-0.661219414437601	11.5597327120775	9.2750038853019	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1509	1539	0.199964301938575	0.387566875876601	0.00361724367550711	9.62648162008158	8.53306654057253	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1617	1464	0.194627127045194	0.411987870634972	-0.597322700598911	11.2100485331359	9.15683410445304	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1586	1819	0.176662693350462	0.243473388548958	-0.130632627611957	12.331276964107	9.3487971151232	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1412	1558	0.263954821964049	0.304431082214349	1.93540286236535	8.41227702146668	7.78113850984502	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1792	1800	0.197192245849821	0.395836135316788	-0.615982689235324	11.9491977866686	9.32322252903286	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1651	1744	0.134116670454295	0.346317948042609	-1.15862604028954	10.6874804163956	8.98243550356026	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1684	1800	0.164989460828141	0.29077039907838	-0.655041098573064	12.447024680294	9.35720744778573	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1248	1128	0.173586117135407	0.592147646604705	-1.69135673234891	9.47077970803409	8.58541243039338	FALSE	patient; spots nested
Wu_Zenodo_19123188	U001	Responder	1347	1558	0.227913619726525	0.307310230492866	0.744570162343003	10.7422923055184	9.02183976410551	FALSE	patient; spots nested
