cohort	gene	gene_z_vs_canonical_spearman_rho	covariance_share_of_canonical_raw_variance	loo_spearman_rho	loo_rho_loss_from_one	loo_max_normalized_rank_displacement	catastrophic_dependency	catastrophic_rule	canonical_gene_removed	outcome_loaded
GSE302495	IRF1	0.6610132399606083	0.03303594784246318	0.9984681037312616	0.0015318962687383975	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	IFIT1	0.06226064120800962	0.009821433448495244	0.9986869460553671	0.0013130539446328804	0.02702702702702703	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	IFIT2	0.3445672393040814	0.018063670494977375	0.9969362074625232	0.003063792537476795	0.08108108108108109	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	IFIT3	0.49425538899223115	0.025974983443798377	0.994966626545574	0.0050333734544260045	0.10810810810810811	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	ISG15	0.25024619761461864	0.01014173073754385	0.9964985228143123	0.003501477185687718	0.08108108108108109	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	MX1	0.5041032935769778	0.02431967057508603	0.9962796804902068	0.003720319509793235	0.10810810810810811	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	OAS1	0.6235912025385709	0.02942662106154786	0.9969362074625232	0.003063792537476795	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CXCL9	0.7516139621402779	0.037301200940867946	0.9975927344348396	0.0024072655651603547	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CXCL10	0.6441623810044863	0.03308714083130274	0.9973738921107341	0.002626107889265872	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	IFNG	0.6109106524252271	0.030699740276916892	0.9967173651384177	0.003282634861582312	0.10810810810810811	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	TNF	0.7323558376189955	0.035969203216830295	0.9973738921107341	0.002626107889265872	0.08108108108108109	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	CCL5	0.8008534850640113	0.038410132982302884	0.9982492614071562	0.0017507385928438035	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	NKG7	0.7106904475325527	0.03470115833331451	0.9975927344348396	0.0024072655651603547	0.08108108108108109	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	PRF1	0.8306160411423569	0.038961861269546094	0.9980304190830506	0.0019695809169494316	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	GZMB	0.8673815515920779	0.04050273868517297	0.9982492614071562	0.0017507385928438035	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	PDCD1	0.5979866506182295	0.029904212401618235	0.9978115767589453	0.0021884232410547266	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	LAG3	0.6734872524346208	0.034818691598114966	0.9982492614071562	0.0017507385928438035	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	TIGIT	0.6831163146952621	0.03473125946448969	0.9975927344348396	0.0024072655651603547	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE302495	TOX	0.47302768355399927	0.013448637704924563	0.9973738921107341	0.002626107889265872	0.05405405405405406	false	LOO rho<0.95 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CD3D	0.6556641908892399	0.02836676995449206	0.9982697262540706	0.0017302737459293782	0.0821917808219178	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CD3E	0.3087556385012354	0.011681060160697334	0.999251977725559	0.0007480222744410403	0.06164383561643835	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CD3G	0.774633733537843	0.036304564978359176	0.999081972663186	0.000918027336814009	0.0684931506849315	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CD247	0.7255816062078293	0.036562235976970496	0.9992481998352839	0.0007518001647160988	0.04794520547945205	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	LCK	0.8783141542437041	0.04243051777536112	0.9995013184837059	0.0004986815162940639	0.0273972602739726	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	FYN	0.6777572932171757	0.03207101322500992	0.9986210700496415	0.0013789299503584873	0.0684931506849315	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	ZAP70	0.5751762385813267	0.022366122975097075	0.9981563895458221	0.001843610454177913	0.1917808219178082	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	LAT	0.7217772707009498	0.03586121232701987	0.9987986308925644	0.0012013691074356236	0.0684931506849315	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	LCP2	0.7835873334894862	0.03894194912931768	0.9992330882741842	0.0007669117258157776	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	TRAT1	0.7732094689041853	0.03905321936338733	0.9993690923240826	0.000630907675917447	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	NFKB1	0.46288978382911844	0.023167637614580894	0.9981715011069219	0.0018284988930781232	0.08904109589041095	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	REL	0.27495863210148924	0.010893910337945659	0.9976803753711776	0.002319624628822403	0.06164383561643835	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	RELA	0.2225177371948409	0.008635116280755811	0.9979032708974	0.002096729102599948	0.0684931506849315	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	NFKBIA	0.4735963248683405	0.01992172905787765	0.997993940263999	0.002006059736000987	0.06164383561643835	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	TNFAIP3	0.34355000793356955	0.01709908540380626	0.9978617141043756	0.00213828589562437	0.07534246575342465	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	STAT1	0.7072248373618236	0.034766802719190824	0.998825076124489	0.0011749238755109914	0.0547945205479452	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	IRF1	0.6679196669411934	0.0344129942231204	0.998666404732941	0.0013335952670590068	0.04794520547945205	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	IFIT1	0.5398265192785741	0.02364001260081781	0.9987684077703649	0.0012315922296350923	0.03424657534246575	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	IFIT2	0.5534382579392365	0.02519173345138191	0.9985984027079917	0.001401597292008283	0.0547945205479452	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	IFIT3	0.6624266144814089	0.03003770093123788	0.998904411820263	0.0010955881797369837	0.04794520547945205	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	ISG15	0.5793734746768016	0.024658072583899845	0.9985039554511179	0.0014960445488820806	0.0547945205479452	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	MX1	0.6105599588965538	0.0258048578546532	0.9985984027079917	0.001401597292008283	0.0547945205479452	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	OAS1	0.608440562452304	0.025577840682278398	0.9985984027079917	0.001401597292008283	0.0684931506849315	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CXCL9	0.7610333285480056	0.03592570157644879	0.9988061866731142	0.0011938133268858397	0.04794520547945205	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CXCL10	0.7564658592055853	0.035334169622339116	0.9989610801743876	0.0010389198256124388	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	IFNG	0.5070873221558153	0.03136520728426461	0.999659989875254	0.0003400101247460485	0.0273972602739726	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	TNF	0.32444930113700743	0.020342363610752263	0.9991424189075853	0.0008575810924147387	0.0958904109589041	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	CCL5	0.898998103499082	0.041855576390292346	0.9993615365435325	0.000638463456467453	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	NKG7	0.8376753885560148	0.04096738791665136	0.9992028651519845	0.0007971348480154683	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	PRF1	0.7954310195014695	0.039508801063943895	0.9992784229574836	0.0007215770425164081	0.0547945205479452	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	GZMB	0.7501870055686102	0.03784944065158929	0.9993048681894084	0.0006951318105915538	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	PDCD1	-0.05566343531118482	0.0016295755065868108	0.9986059584885417	0.0013940415114582771	0.10273972602739725	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	LAG3	0.5201744253589666	0.028096564302047766	0.9990744168826361	0.000925583117363904	0.0821917808219178	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	TIGIT	0.688452500585573	0.03738720344650874	0.9995315416059055	0.0004684583940944842	0.0410958904109589	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
GSE104580	TOX	0.4945749495651649	0.022291849021316482	0.9975670386629291	0.002432961337070938	0.136986301369863	false	LOO rho<0.90 or max rank displacement>0.50 or abs covariance share>0.25	NO	NO
