released_t_cell_state	program	n_patients	patient_mean_score	patient_median_score	source_level
CD8_C06_IKZF2	Treg	9	-0.101756500557	-0.0220049356141	unweighted_patient_state_means
CD8_C06_IKZF2	checkpoint	9	-0.0874118139229	-0.0646801697661	unweighted_patient_state_means
CD8_C06_IKZF2	cytotoxicity	9	1.71256786293	1.72876120208	unweighted_patient_state_means
CD8_C06_IKZF2	effector_differentiation	9	0.816500934036	0.867868317921	unweighted_patient_state_means
CD8_C06_IKZF2	exhaustion	9	-0.0599368828438	-0.0423086634458	unweighted_patient_state_means
CD8_C06_IKZF2	proliferation	9	-0.134764927157	-0.140974801969	unweighted_patient_state_means
CD8_C07_KIR2DL4	AP1	9	0.308407529173	0.312160058647	unweighted_patient_state_means
CD8_C07_KIR2DL4	IFNG_TNF	9	0.293360114048	0.30181247352	unweighted_patient_state_means
CD8_C07_KIR2DL4	IFN_response	9	-0.0285331175883	-0.0687999697343	unweighted_patient_state_means
CD8_C07_KIR2DL4	NFAT	9	0.0960558230485	0.10057756124	unweighted_patient_state_means
CD8_C07_KIR2DL4	NFkB	9	0.0949879368503	0.0411553004015	unweighted_patient_state_means
CD8_C07_KIR2DL4	TCR_activation	9	-0.0641073248662	-0.117507199975	unweighted_patient_state_means
CD8_C07_KIR2DL4	Treg	9	-0.0891130797429	-0.08172463245	unweighted_patient_state_means
CD8_C07_KIR2DL4	checkpoint	9	-0.012326692386	-0.0419670106536	unweighted_patient_state_means
CD8_C07_KIR2DL4	cytotoxicity	9	0.734900733756	0.714826828447	unweighted_patient_state_means
CD8_C07_KIR2DL4	effector_differentiation	9	0.3082113141	0.279497211768	unweighted_patient_state_means
CD8_C07_KIR2DL4	exhaustion	9	-0.0596015196404	-0.0204105835308	unweighted_patient_state_means
CD8_C07_KIR2DL4	proliferation	9	0.0466350703672	0.020000341646	unweighted_patient_state_means
CD8_C08_GZMK	AP1	9	0.312037102099	0.276966844402	unweighted_patient_state_means
CD8_C08_GZMK	IFNG_TNF	9	0.330984123496	0.356077155901	unweighted_patient_state_means
CD8_C08_GZMK	IFN_response	9	-0.0237577996804	-0.0410706463963	unweighted_patient_state_means
CD8_C08_GZMK	NFAT	9	0.198167025776	0.187650298049	unweighted_patient_state_means
CD8_C08_GZMK	NFkB	9	0.0784752452824	0.108325979225	unweighted_patient_state_means
CD8_C08_GZMK	TCR_activation	9	-0.0369203923922	-0.115869802319	unweighted_patient_state_means
CD8_C08_GZMK	Treg	9	-0.213802181979	-0.217137209534	unweighted_patient_state_means
CD8_C08_GZMK	checkpoint	9	0.0230023645199	0.0309994319778	unweighted_patient_state_means
CD8_C08_GZMK	cytotoxicity	9	0.262744571866	0.249463467604	unweighted_patient_state_means
CD8_C08_GZMK	effector_differentiation	9	0.33556919955	0.311899057544	unweighted_patient_state_means
CD8_C08_GZMK	exhaustion	9	-0.0168820479149	-0.0203821347863	unweighted_patient_state_means
CD8_C08_GZMK	proliferation	9	0.0611583682716	0.0428013820741	unweighted_patient_state_means
CD8_C09_LAYN	AP1	9	0.125266761741	0.0928337405888	unweighted_patient_state_means
CD8_C09_LAYN	IFNG_TNF	9	0.53642644552	0.530144583642	unweighted_patient_state_means
CD8_C09_LAYN	IFN_response	9	0.0287480179913	0.0344430838152	unweighted_patient_state_means
CD8_C09_LAYN	NFAT	9	0.0903095767696	0.0662766576349	unweighted_patient_state_means
CD8_C09_LAYN	NFkB	9	0.0197683259637	0.0396709517049	unweighted_patient_state_means
CD8_C09_LAYN	TCR_activation	9	0.0668020088055	0.0681995141192	unweighted_patient_state_means
CD8_C09_LAYN	Treg	9	0.0797775957582	0.0721916618175	unweighted_patient_state_means
CD8_C09_LAYN	checkpoint	9	0.788149042425	0.693968679901	unweighted_patient_state_means
CD8_C09_LAYN	cytotoxicity	9	0.386250425286	0.349157192359	unweighted_patient_state_means
CD8_C09_LAYN	effector_differentiation	9	0.431469745539	0.432674482452	unweighted_patient_state_means
CD8_C09_LAYN	exhaustion	9	0.748116967398	0.732075158715	unweighted_patient_state_means
CD8_C09_LAYN	proliferation	9	0.173203104538	0.200190015456	unweighted_patient_state_means
CD8_C10_SLC4A10	AP1	9	0.324981524654	0.31534227927	unweighted_patient_state_means
CD8_C10_SLC4A10	IFNG_TNF	9	0.112704513126	0.0886444072419	unweighted_patient_state_means
CD8_C10_SLC4A10	IFN_response	9	-0.0091796411217	-0.022260758149	unweighted_patient_state_means
CD8_C10_SLC4A10	NFAT	9	0.133992349453	0.128917752718	unweighted_patient_state_means
CD8_C10_SLC4A10	NFkB	9	0.209337842369	0.302964570349	unweighted_patient_state_means
CD8_C10_SLC4A10	TCR_activation	9	-0.0433083010666	-0.0871325632721	unweighted_patient_state_means
CD8_C10_SLC4A10	Treg	9	-0.229927435861	-0.235259996253	unweighted_patient_state_means
CD8_C10_SLC4A10	checkpoint	9	-0.128190937898	-0.119996314283	unweighted_patient_state_means
CD8_C10_SLC4A10	cytotoxicity	9	0.069666919008	0.05958065424	unweighted_patient_state_means
CD8_C10_SLC4A10	effector_differentiation	9	0.176274536352	0.214604936869	unweighted_patient_state_means
CD8_C10_SLC4A10	exhaustion	9	-0.153550286684	-0.157287502326	unweighted_patient_state_means
CD8_C10_SLC4A10	proliferation	9	-0.0280190611964	-0.0101567843906	unweighted_patient_state_means
CD8_C11_MKI67	AP1	9	0.190058613766	0.104590389782	unweighted_patient_state_means
CD8_C11_MKI67	IFNG_TNF	9	0.393931306127	0.408318237002	unweighted_patient_state_means
CD8_C11_MKI67	IFN_response	9	0.127546867096	0.189080462508	unweighted_patient_state_means
CD8_C11_MKI67	NFAT	9	0.277156116174	0.267732396506	unweighted_patient_state_means
CD8_C11_MKI67	NFkB	9	0.147216175523	0.243796595735	unweighted_patient_state_means
CD8_C11_MKI67	TCR_activation	9	0.0557402384856	0.0159689201416	unweighted_patient_state_means
CD8_C11_MKI67	Treg	9	-0.0309074664341	0.0301860104887	unweighted_patient_state_means
CD8_C11_MKI67	checkpoint	9	0.416311830343	0.328386670258	unweighted_patient_state_means
CD8_C11_MKI67	cytotoxicity	9	0.353436179396	0.281344998318	unweighted_patient_state_means
CD8_C11_MKI67	effector_differentiation	9	0.382442214889	0.333924890501	unweighted_patient_state_means
CD8_C11_MKI67	exhaustion	9	0.474183226246	0.296616954537	unweighted_patient_state_means
CD8_C11_MKI67	proliferation	9	4.36595752544	4.46812677895	unweighted_patient_state_means
