gene_rank	gene	dataset	contrast	condition	frozen_author_log_fc	direction	author_zscore	author_adjusted_p	donor_n	inference_unit	source_url	source_etag	source_type	new_endpoint_fitted
14	NFKBIA	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.043649873866616	NEGATIVE	-0.46491217190299106	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
15	TNFAIP3	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0275355228583287	NEGATIVE	-0.24561057824044677	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
16	STAT1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0494111151049747	POSITIVE	0.5240778152085853	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
17	IRF1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.1435161011626993	NEGATIVE	-1.2123763592077073	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
18	IFIT1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.2788495167437385	NEGATIVE	-0.34950937963337103	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
19	IFIT2	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.9704768376237062	POSITIVE	1.1442074792832189	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
20	IFIT3	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.5848990315907185	POSITIVE	0.7461617363958277	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
21	ISG15	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0248775620916326	POSITIVE	0.10852318658092153	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
22	MX1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.032221259083458	POSITIVE	0.18241350762668374	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
23	OAS1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0213944957142004	POSITIVE	0.15654484627515478	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
24	CXCL9	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.7260640915905627	POSITIVE	0.20767761990642014	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
25	CXCL10	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.5155652853626158	POSITIVE	0.6158733480793573	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
26	IFNG	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0014289159744891	NEGATIVE	-0.003928218373508556	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
27	TNF	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0577543892680275	NEGATIVE	-0.29283768737117255	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
28	CCL5	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0265256398793638	POSITIVE	0.10579926512907585	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
29	NKG7	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0023632195489136	NEGATIVE	-0.01555062801980048	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
30	PRF1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0889128034856101	POSITIVE	0.47409764749955896	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
31	GZMB	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.0210412109759155	POSITIVE	0.08079031998986394	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
32	PDCD1	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.4008194593155235	NEGATIVE	-1.4481197740876672	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
33	LAG3	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.0105129358171039	NEGATIVE	-0.05076119838235264	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
34	TIGIT	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	0.1010121748923641	POSITIVE	0.2054845825688545	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
35	TOX	GSE314342	PTPN22_CRISPRI_VS_NTC_STIM48HR	Stim48hr	-0.7559714963658766	NEGATIVE	-1.1869799367756395	0.999925614497548	4	AUTHOR_DONOR_AWARE_POOLED_DE_MODEL	httpGWCD4i.DE_stats.h5ad	c9ff52fcc6d6ce8a387a76dc757a5b97-2002	EXISTING_LOCAL_FROZEN_AUTHOR_DE_CACHE	False
