gene	system	condition	contrast	native_effect	orientation_factor	eligible	is_AF35	is_PTPN22	oriented_effect	rank_score	average_rank	percentile_rank	gene_rank
CD247	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.068032059407154	-1	True	True	False	0.068032059407154	0.4453413732736822	7431.0	0.7226706866368411	4
LCK	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0997809516278895	-1	True	True	False	0.0997809516278895	0.5815016533748298	8131.0	0.7907508266874149	5
FYN	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0624657603341894	-1	True	True	False	0.0624657603341894	0.41577514102314717	7279.0	0.7078875705115736	6
ZAP70	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0902010033162045	-1	True	True	False	0.0902010033162045	0.545516436490955	7946.0	0.7727582182454775	7
LAT	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0516316249800226	-1	True	True	False	0.0516316249800226	0.3554755884069247	6969.0	0.6777377942034624	8
LCP2	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0386166783447062	-1	True	True	False	-0.0386166783447062	-0.29089671270180895	3646.0	0.3545516436490955	9
TRAT1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	0.0558054475112265	-1	True	True	False	-0.0558054475112265	-0.4122738766776891	3022.0	0.29386306166115544	10
NFKB1	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0250934698962017	-1	True	True	False	0.0250934698962017	0.17438241587239833	6038.0	0.5871912079361992	11
REL	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.136692498943681	-1	True	True	False	0.136692498943681	0.684983466251702	8663.0	0.842491733125851	12
RELA	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.1005171176463499	-1	True	True	False	0.1005171176463499	0.5846138883485703	8147.0	0.7923069441742852	13
NFKBIA	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.043649873866616	-1	True	True	False	0.043649873866616	0.3027621085391947	6698.0	0.6513810542695974	14
TNFAIP3	GSE314342_Stim48hr	Stim48hr	PTPN22_CRISPRI_VS_NTC_STIM48HR	-0.0275355228583287	-1	True	True	False	0.0275355228583287	0.19383388445827654	6138.0	0.5969169422291383	15
