gene	CD3D	CD3E	CD3G	CD247	LCK	FYN	ZAP70	LAT	LCP2	TRAT1	NFKB1	REL	RELA	NFKBIA	TNFAIP3	STAT1	IRF1	IFIT1	IFIT2	IFIT3	ISG15	MX1	OAS1	CXCL9	CXCL10	IFNG	TNF	CCL5	NKG7	PRF1	GZMB	PDCD1	LAG3	TIGIT	TOX
OAS1	0.5045409782251887	0.5684429368639895	0.5122004595688806	0.5279571069044754	0.513732355837619	0.2754130648867491	0.48769011926906664	0.22724080583427686	0.40628077470182733	0.5478717583980741	0.4005908742750848	0.2697231644600066	-0.2325199693620746	0.14979757085020243	0.040376408797461426	0.45179997811576755	0.3305613305613306	0.4078126709705657	0.3239960608381661	0.6279680490206806	0.35419630156472265	0.5655979866506182	1.0	0.550060181639129	0.4244446876025823	0.3068245898230341	0.2666593719225298	0.43823175402122777	0.33647007331217854	0.5027902396323448	0.44063901958638796	0.1870007659481344	0.5218295218295218	0.33165554218185794	0.10077689025057447
CXCL9	0.738483422693949	0.622715833242149	0.519203413940256	0.4294780610570084	0.5962359120253857	0.4290403764087975	0.5610022978444031	0.14230344005277612	0.5973301236459131	0.3765182186234818	0.4625232519969362	0.29051318525002734	-0.13338439654229128	-0.12660028449502134	0.3108655213918372	0.8457161615056351	0.5778531568005252	-0.045628624575992996	0.276288434183171	0.4360433307801728	0.26053178684757633	0.3988401356822409	0.550060181639129	1.0	0.7802823065980962	0.42600529447403773	0.6019258124521282	0.5522486048801838	0.6010504431557063	0.5467775467775468	0.5979866506182295	0.5704125177809388	0.410219936535726	0.5968924389977022	0.4935988620199146
CXCL10	0.5577196629828208	0.4671189408031513	0.495568442936864	0.2318634423897582	0.48856548856548854	0.23098807309333624	0.41109530583214793	-0.012118027316994216	0.49141043877885987	0.27388116861801065	0.34916292811029653	0.21041689462742094	0.009081956450377503	-0.18568771200350145	0.19684867053288105	0.7592734434839697	0.39927782033045195	0.08173760805339753	0.39424444687602583	0.5728197833460991	0.464711675237991	0.501039501039501	0.4244446876025823	0.7802823065980962	1.0	0.5241541100689818	0.6524783893204945	0.4859393806762227	0.4463289200131305	0.4170040485829959	0.4846263267315899	0.5531239741766059	0.31108436371594267	0.4881278039172776	0.37608053397527086
IFNG	0.5519775466327272	0.5699422852014447	0.5844017089274854	0.424690801408034	0.5425570129930338	0.25840742855856386	0.5044367140789261	-0.02136891092507411	0.35655624415350806	0.447694430063099	0.19005378912637064	0.1309016011562034	-0.21042843164942823	0.09760111015077594	0.10921246556714209	0.4433127865097533	0.24920597709653788	0.020484183611891246	0.048088537997969284	0.3576516550418445	0.2947750700513334	0.14996175061325728	0.3068245898230341	0.4260052944740377	0.5241541100689818	1.0	0.44878984095143554	0.6065290088718813	0.529631164510664	0.7079640571318349	0.5894405990138332	0.5079420289216027	0.5436524238813703	0.5975466395875227	0.3602806411738519
TNF	0.6634205055257687	0.5607834555202976	0.5362731152204837	0.4662435715067294	0.62315351789036	0.5531239741766059	0.5117627749206697	0.2781587554781608	0.7995404311193784	0.1985994091257249	0.4653682022103075	0.525987525987526	-0.006893533209322683	0.012364591311959734	0.35047598205492947	0.6235912025385709	0.6259984681037313	-0.1480468322573586	0.2519969362074625	0.4244446876025823	0.34850640113798004	0.43341722289090706	0.2666593719225298	0.6019258124521282	0.6524783893204945	0.44878984095143554	1.0	0.5452456505088084	0.49731918152970783	0.46974504869241707	0.6597001860159756	0.45836524783893207	0.3522267206477733	0.5266440529598424	0.410219936535726
CCL5	0.7853156800525222	0.828427617901302	0.5789473684210525	0.6516030200240727	0.786628733997155	0.6804902068059963	0.7964766385819017	0.10183589928776791	0.665390086442718	0.5251121566911041	0.35704125177809387	0.3896487580698107	-0.294890031732137	0.33165554218185794	0.1975051975051975	0.4432651274756538	0.35879199037093773	0.18371813108655213	0.26447094868147497	0.3454426086005033	0.12375533428165006	0.26140715614399823	0.43823175402122777	0.5522486048801838	0.4859393806762227	0.6065290088718813	0.5452456505088084	1.0	0.8323667797352008	0.8170478170478171	0.7039063354852828	0.5640660903818798	0.653572600941022	0.5620965094649304	0.4191924718240508
NKG7	0.6809278914542072	0.7128788707736077	0.5767589451799979	0.4596783017835649	0.5739139949666265	0.5218295218295218	0.6496334391071233	0.010116885191252053	0.5730386256702046	0.3520078783236678	0.20691541744173325	0.33362512309880726	-0.054163475216106795	0.26293905241273663	0.12878870773607617	0.446110077689025	0.3053944632892001	0.2500273552905132	0.32049458365247835	0.3513513513513513	0.15811357916621074	0.1425757741547215	0.33647007331217854	0.6010504431557063	0.4463289200131305	0.5296311645106639	0.49731918152970783	0.8323667797352008	1.0	0.7675894517999781	0.6452565926250137	0.42838384943648106	0.5445891235364919	0.5143888828099354	0.25768683663420505
PRF1	0.7616807090491302	0.7636502899660794	0.6632016632016632	0.720319509793194	0.7864098916730496	0.58682569208885	0.8702265018054491	0.10205824841285036	0.5671298829193566	0.5227048911259438	0.19050224313382208	0.33406280774701824	-0.28963781595360544	0.3102089944195207	0.2981726665937192	0.47105810263705	0.40343582448845605	0.2474012474012474	0.33865849655323343	0.3854907539118066	0.13010176168070903	0.26118831381989277	0.5027902396323448	0.5467775467775468	0.4170040485829959	0.7079640571318349	0.46974504869241707	0.8170478170478171	0.7675894517999781	1.0	0.773935879199037	0.4911915964547544	0.8087318087318087	0.5612211401685085	0.37673706094758724
GZMB	0.8087318087318087	0.6861801072327387	0.6365028996607944	0.7570850202429149	0.7292920450815188	0.5480906007221797	0.7682459787722946	0.3231844533073595	0.6758945179997812	0.3811139074296969	0.35747893642630485	0.6198708830287778	-0.2618448407922092	0.21545026808184703	0.4907539118065434	0.5610022978444031	0.5813546339862129	0.014553014553014552	0.2927016084910822	0.34434839697997593	-0.006455848561111719	0.3754240070029544	0.44063901958638796	0.5979866506182295	0.4846263267315899	0.5894405990138332	0.6597001860159756	0.7039063354852828	0.6452565926250137	0.773935879199037	1.0	0.5914213808950651	0.5785096837728416	0.6065215012583433	0.35594704015756645
PDCD1	0.6603567129882919	0.4855016960280118	0.42094321041689464	0.46055367107998685	0.563190721085458	0.48572053835211726	0.5154830944304628	0.16754006574963565	0.47434073749863226	0.3601050443155706	0.23711565816828972	0.33187438450596346	-0.09421162052740999	0.04869241711346974	0.5189845716161505	0.5669110405952511	0.5793850530692637	-0.16402232191705876	0.020242914979757082	-0.021337126600284494	-0.09049130101761681	0.2539665171244119	0.1870007659481344	0.5704125177809388	0.5531239741766059	0.5079420289216028	0.45836524783893207	0.5640660903818798	0.42838384943648106	0.4911915964547544	0.5914213808950651	1.0	0.409782251887515	0.5990808622387569	0.5599080862238756
LAG3	0.6093664514717145	0.6229346755662545	0.555531239741766	0.5575008206587154	0.653572600941022	0.5579385053069263	0.7737170368749317	0.08882847547044384	0.4662435715067294	0.40321698216435053	0.2147937411095306	0.23339533865849657	-0.349381770434402	0.3141481562534194	0.2745376955903272	0.4051865630812999	0.3762993762993763	0.2292373345004924	0.24258671627092676	0.26731589889484625	0.06094758726337673	0.31677426414268517	0.5218295218295218	0.410219936535726	0.31108436371594267	0.5436524238813703	0.3522267206477733	0.653572600941022	0.5445891235364919	0.8087318087318087	0.5785096837728416	0.409782251887515	1.0	0.46405514826567457	0.2800087536929642
TIGIT	0.6905569537148484	0.6371594266331109	0.6235912025385709	0.5130758288653026	0.5041032935769778	0.3272786956997483	0.5312397417660576	0.12307024073314309	0.5163584637268848	0.5434949119159646	0.26381442170915853	0.2898566582777109	-0.11937848779954041	0.08261297734981946	0.100120363278258	0.5922967501914871	0.4780610570084254	-0.057008425429478066	-0.01214574898785425	0.27234927234927236	0.306707517233833	0.23361418098260203	0.33165554218185794	0.5968924389977022	0.4881278039172776	0.5975466395875227	0.5266440529598424	0.5620965094649304	0.5143888828099354	0.5612211401685085	0.6065215012583433	0.5990808622387569	0.46405514826567457	1.0	0.41240835977678086
TOX	0.47587263376737055	0.39424444687602583	0.270379691432323	0.43451143451143454	0.518765729292045	0.44501586606849763	0.3277163803479593	0.13218655486152406	0.42575774154721524	0.16424116424116425	0.3787066418645366	0.30714520188204397	-0.21041689462742094	0.08677098150782363	0.35178903599956235	0.4515811357916621	0.4918481234270708	-0.3749863223547434	-0.029434292592187328	-0.12375533428165006	-0.033592296750191486	0.08305066199803042	0.10077689025057447	0.4935988620199146	0.37608053397527086	0.36028064117385195	0.410219936535726	0.4191924718240508	0.25768683663420505	0.37673706094758724	0.35594704015756645	0.5599080862238756	0.2800087536929642	0.41240835977678086	1.0
