cohort	plot_unit	response	x	y	raw_target_score	broad_immune_score	conditional_score	log_total_counts	log_detected_genes	inference_unit
GSE238264	U012	Responder	1086	1659	0.0823644081599649	0	0.890691981169584	6.38687931936265	6.02586597382531	patient; spots nested
GSE238264	U012	Responder	582	954	0.122491650989646	0.630516609285847	-0.35133203147394	9.79762691183662	8.38228942895144	patient; spots nested
GSE238264	U012	Responder	682	1306	0.1557328953565	0.710437794759754	0.0740611646652383	9.80427476746454	8.39502555744203	patient; spots nested
GSE238264	U012	Responder	1745	1308	0.148814060484979	0.946998566722597	1.25957390491888	4.02535169073515	3.95124371858143	patient; spots nested
GSE238264	U012	Responder	669	1636	0.274325839643861	0.490657596596737	2.54508096964095	8.81447900001071	7.70885960104718	patient; spots nested
GSE238264	U012	Responder	784	1306	0.248262188449819	1.08175018136691	1.63541811225351	8.15306194680105	7.38274644973891	patient; spots nested
GSE238264	U012	Responder	1290	1219	0.0952312675515726	0.564607863163609	-0.26009027643862	8.49882553405805	7.55747290161475	patient; spots nested
GSE238264	U012	Responder	923	1417	0.182396713884516	0.699407802567896	0.930095079694808	8.5539107743514	7.59488438721652	patient; spots nested
GSE238264	U012	Responder	227	1173	0	0.640681248269668	-2.12656558070913	9.25493125530406	8.02910705461974	patient; spots nested
GSE238264	U012	Responder	1580	1242	0	0	-0.0171471440435873	4.7361984483945	4.62497281328427	patient; spots nested
GSE238264	U012	Responder	1480	757	0.116845423503197	0.886521837181673	-0.21869665774204	8.14293601043227	7.3178761986265	patient; spots nested
GSE238264	U012	Responder	481	954	0.165764234154313	0.638830164947324	0.331719747744763	9.72609383397847	8.30102525383845	patient; spots nested
GSE238264	U012	Responder	1441	1351	0.187425295860405	0.887937499450359	1.16841931292909	7.14361760270412	6.53524127101366	patient; spots nested
GSE238264	U012	Responder	1201	1021	0	0.397366261860395	-0.560482704036818	4.85981240436167	4.72738781871234	patient; spots nested
GSE238264	U012	Responder	1644	1088	0	0	0.10028226481468	4.06044301054642	3.95124371858143	patient; spots nested
GSE238264	U012	Responder	1251	1637	0.100524759931054	1.08344040491282	-0.607082743261786	7.64060382639363	6.89871453432999	patient; spots nested
GSE238264	U012	Responder	404	1306	0.0481917414108386	0.730154036298031	-1.36447276817486	8.92970011431345	7.83122021460429	patient; spots nested
GSE238264	U012	Responder	1594	736	0.0342262008889209	0.655098392540549	-1.3257777752059	8.3719361787591	7.42177579364465	patient; spots nested
GSE238264	U012	Responder	329	997	0	0.556824549767241	-1.6451159833462	8.17159948034546	7.35819375273303	patient; spots nested
GSE238264	U012	Responder	1366	867	0.13871164958083	0.65388919116483	0.294104239779432	8.5354259596773	7.56423847517049	patient; spots nested
GSE238264	U012	Responder	392	1284	0.111087958850483	0.645694846617257	-0.353933749477819	9.20412107216227	7.99967857949945	patient; spots nested
GSE238264	U012	Responder	581	1218	0.142519848492787	0.595437466771138	0.228715903722683	9.1719113453564	7.99867136101578	patient; spots nested
GSE238264	U012	Responder	1189	1131	0.0463066545565962	0.664882700814137	-0.970521992246851	7.81035268372429	7.03614849375054	patient; spots nested
GSE238264	U012	Responder	797	668	0.0472402372636592	0.798633475685796	-1.06110964463759	7.7698009960039	7.12849594568004	patient; spots nested
GSE238264	U012	Responder	1379	669	0.0444564906349021	0.709082232992774	-1.08629913031015	7.89170465933011	7.0833878476253	patient; spots nested
GSE238264	U012	Responder	1480	713	0.104587150931924	1.16097828677756	-0.578183124604417	7.55538194424027	6.92362862813843	patient; spots nested
GSE238264	U012	Responder	949	713	0.190418642109733	0.938059208265613	0.892293938789334	8.22255363839696	7.45298232946546	patient; spots nested
GSE238264	U012	Responder	405	822	0.0671958527852811	0.54862540250778	-0.644360292551272	8.40357646462927	7.51316354523408	patient; spots nested
GSE238264	U012	Responder	315	1591	0	0.461366687647959	-1.29700660078562	7.4489161025442	6.85751406254539	patient; spots nested
GSE238264	U012	Responder	543	1372	0.0926135819461825	0.586335056856634	-0.428251252388366	8.79346036105272	7.74630066223144	patient; spots nested
GSE238264	U012	Responder	606	1614	0.090915403673026	0.854636926261267	-0.611060712370575	8.20631072579402	7.35564110297425	patient; spots nested
GSE238264	U012	Responder	1567	1660	0	0	0.1762612894928	3.78418963391826	3.73766961828337	patient; spots nested
GSE238264	U012	Responder	835	1042	0.0858873292694844	0.4108524107353	-0.0340003304003163	7.9592759601164	7.20117088328168	patient; spots nested
GSE238264	U012	Responder	1036	1439	0.121442513426648	0.819889937078743	-0.0234797155340509	8.07153089355666	7.29979736675816	patient; spots nested
GSE238264	U012	Responder	265	1459	0.0977827275470417	0.546816706600819	-0.327278704544868	8.86248357648833	7.77106708606541	patient; spots nested
GSE238264	U012	Responder	999	1285	0.127682213913727	0.718739316110195	0.0670889004841833	8.489616423646	7.57044325205737	patient; spots nested
GSE238264	U012	Responder	1354	669	0.222481182760406	1.05450133659955	1.42187156235878	7.59739632021279	6.96885037834195	patient; spots nested
GSE238264	U012	Responder	315	1547	0.0985525475250884	0.704669554832117	-0.364535260940036	8.44160720445964	7.53047999524554	patient; spots nested
GSE238264	U012	Responder	935	1615	0	0.786422893497662	-1.61369997377716	7.07834157955767	6.57228254269401	patient; spots nested
