source	plot_unit	analysis	lineage	cell_n	state_n	PTPN22_variance	AF35_variance	C_total	C_between	C_within	identity_error	residual_Pearson	residual_Spearman	eligible	reason	between_abs_gt_within	sign_total	sign_between	sign_within	geometry	removed_state	removed_cell_n
GSE235863	U006	LOSO_CD4_C08_FOXP3	ALL	1009	15	0.685343765021517	0.0337546147655796	0.149365609279909	0.0890326459993869	0.0603329632805225	-3.46944695195361e-17	0.0693341481637169	0.0489390190194445	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C08_FOXP3	23
GSE235863	U001	LOSO_CD4_C08_FOXP3	ALL	2207	19	0.770666658869792	0.0472678575211945	0.244032513667735	0.165429481637631	0.0786030320301039	1.38777878078145e-17	0.10116861444758	0.106829701602895	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C08_FOXP3	36
GSE235863	U002	LOSO_CD4_C08_FOXP3	ALL	1365	19	0.688723630181223	0.0388339434496211	0.248562394990024	0.176070368549507	0.0724920264405175	-1.38777878078145e-17	0.0929130015898772	0.0984130939217724	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C08_FOXP3	10
GSE235863	U003	LOSO_CD4_C08_FOXP3	ALL	1783	16	0.716779788861311	0.0704153742564418	0.0978117093018185	0.0476943356067273	0.0501173736950912	2.77555756156289e-17	0.0557357275424703	0.0592140491169171	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C08_FOXP3	7
GSE235863	U004	LOSO_CD4_C08_FOXP3	ALL	1179	16	1.04536230377655	0.0630550929109782	0.282429447075589	0.169347068372722	0.113082378702867	0	0.138596299875034	0.14830004140572	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C08_FOXP3	10
GSE235863	U005	LOSO_CD4_C08_FOXP3	ALL	1457	17	1.18498903119486	0.081089818094447	0.177931174178754	0.199889077992719	-0.0219579038139644	4.16333634234434e-17	-0.0299296998697983	-0.0371028627382294	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C08_FOXP3	2
GSE235863	U006	LOSO_CD4_C09_MKI67	ALL	1023	15	0.690316345286623	0.0321998117211287	0.154660991118107	0.092471923692965	0.0621890674251425	1.38777878078145e-17	0.0713473284995262	0.0527512773549113	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C09_MKI67	9
GSE235863	U001	LOSO_CD4_C09_MKI67	ALL	2230	19	0.769562476200298	0.0474336039941654	0.244219739676091	0.167522699740527	0.076697039935564	-2.77555756156289e-17	0.0990103192463666	0.104844717101576	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C09_MKI67	13
GSE235863	U002	LOSO_CD4_C09_MKI67	ALL	1373	19	0.687340597444038	0.0388742621794912	0.24952111018231	0.178921436142675	0.0705996740396349	2.77555756156289e-17	0.0908323163452325	0.0961013002597974	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C09_MKI67	2
GSE235863	U003	LOSO_CD4_C09_MKI67	ALL	1768	16	0.719704013993034	0.0710905936050284	0.0970235231703997	0.0481646744834093	0.0488588486869903	-6.93889390390723e-18	0.0544030224643249	0.0559279870452336	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD4_C09_MKI67	22
GSE235863	U004	LOSO_CD4_C09_MKI67	ALL	1177	16	1.04815761093422	0.0605725575198884	0.286555312433734	0.171127504393621	0.115427808040113	6.93889390390723e-17	0.140894282680005	0.150060071744541	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD4_C09_MKI67	12
GSE235863	U005	LOSO_CD4_C09_MKI67	ALL	1437	17	1.1907331046661	0.0815794582667831	0.173834456437095	0.20081459692666	-0.026980140489565	-2.08166817117217e-17	-0.0368853917735023	-0.0442313415261947	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD4_C09_MKI67	22
GSE235863	U006	LOSO_CD8_C01_LEF1	ALL	1030	15	0.688609279356615	0.0335308502179425	0.144532080603719	0.086351223492551	0.0581808571111684	6.93889390390723e-18	0.0666428837054496	0.0509839790585305	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C01_LEF1	2
GSE235863	U001	LOSO_CD8_C01_LEF1	ALL	2213	19	0.769880564071028	0.0467108000655461	0.241394041879955	0.159581521311029	0.0818125205689266	1.38777878078145e-17	0.104482359900314	0.110833088900051	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C01_LEF1	30
GSE235863	U002	LOSO_CD8_C01_LEF1	ALL	1367	19	0.689275095636157	0.0385044113375999	0.251841369679034	0.179655021164115	0.0721863485149188	0	0.0923026811865132	0.098104922714687	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C01_LEF1	8
GSE235863	U003	LOSO_CD8_C01_LEF1	ALL	1785	16	0.715743689406813	0.0703501613293358	0.0984742480565687	0.0485746291962155	0.0498996188603532	-1.38777878078145e-17	0.0554725797202587	0.0587164977461778	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD8_C01_LEF1	5
GSE235863	U004	LOSO_CD8_C01_LEF1	ALL	1187	16	1.04239323519547	0.0626211258736464	0.282432341787461	0.167150853775296	0.115281488012164	1.38777878078145e-17	0.140899586806726	0.151574910929861	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C01_LEF1	2
GSE235863	U005	LOSO_CD8_C01_LEF1	ALL	1457	17	1.1852468767488	0.0809887691914216	0.178105675855248	0.199861071881496	-0.0217553960262477	-2.08166817117217e-17	-0.0296446817927429	-0.037051108957915	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD8_C01_LEF1	2
GSE235863	U006	LOSO_CD8_C02_GPR183	ALL	1031	15	0.687944997454521	0.0335171927292981	0.144654687680465	0.0857389761568353	0.05891571152363	-2.77555756156289e-17	0.0674289121363768	0.0514769409270264	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C02_GPR183	1
GSE235863	U001	LOSO_CD8_C02_GPR183	ALL	2238	19	0.76876966974823	0.0473789269915227	0.245551083918391	0.167236846928127	0.0783142369902642	-1.38777878078145e-17	0.101017147098314	0.10703124823671	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C02_GPR183	5
GSE235863	U002	LOSO_CD8_C02_GPR183	ALL	1366	19	0.688746524052648	0.0388930480774932	0.249266034845305	0.176611688568212	0.0726543462770929	-4.16333634234434e-17	0.0932237624262689	0.098850806979778	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C02_GPR183	9
GSE235863	U003	LOSO_CD8_C02_GPR183	ALL	1790	17	0.715898229884043	0.070422754360108	0.0980856217526472	0.0479112579206213	0.0501743638320259	1.38777878078145e-17	0.0558471693112154	0.059279693237819	True	ELIGIBLE	False	1	1	1	CONCORDANT_POSITIVE	CD8_C02_GPR183	0
GSE235863	U004	LOSO_CD8_C02_GPR183	ALL	1188	16	1.04318005036901	0.0627397283875597	0.284484693530313	0.169452572894762	0.115032120635551	-4.16333634234434e-17	0.140884068110793	0.151497135236698	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C02_GPR183	1
GSE235863	U005	LOSO_CD8_C02_GPR183	ALL	1457	17	1.18469220942199	0.0811586865640448	0.177441464599484	0.199915486984036	-0.0224740223845525	-2.77555756156289e-17	-0.0306337581191441	-0.037941176898512	True	ELIGIBLE	True	1	1	-1	OPPOSING_COMPONENTS	CD8_C02_GPR183	2
GSE235863	U006	LOSO_CD8_C03_CX3CR1	ALL	1028	15	0.688937134332535	0.0334242680407594	0.145872425823698	0.0885696726335456	0.0573027531901519	1.38777878078145e-17	0.0654957600061433	0.0500240487084723	True	ELIGIBLE	True	1	1	1	CONCORDANT_POSITIVE	CD8_C03_CX3CR1	4
