source	plot_unit	state	lineage	cell_n	cell_fraction	mean_Xz	mean_Yz	signed_contribution	absolute_contribution	full_patient_eligible
GSE235863	U002	CD8_C01_LEF1	CD8	8	0.00581818181818182	-0.0705563596592281	-1.49401967202383	0.000613309610573238	0.000613309610573238	True
GSE235863	U002	CD8_C02_GPR183	CD8	9	0.00654545454545455	-0.581350916023415	-0.769217110631365	0.00292702956143844	0.00292702956143844	True
GSE235863	U002	CD8_C03_CX3CR1	CD8	9	0.00654545454545455	-0.0221995410672875	1.0997714351473	-0.000159803483820101	0.000159803483820101	True
GSE235863	U002	CD8_C04_GIMAP4	CD8	4	0.00290909090909091	-0.951810068465336	-0.336982429874084	0.000933071329891104	0.000933071329891104	True
GSE235863	U002	CD8_C05_CCR7	CD8	27	0.0196363636363636	0.0683235002192654	-0.211495682451698	-0.00028374791510675	0.00028374791510675	True
GSE235863	U002	CD8_C06_IKZF2	CD8	1	0.000727272727272727	-0.951810068465336	1.1591716045391	-0.000802408148566863	0.000802408148566863	True
GSE235863	U002	CD8_C07_KIR2DL4	CD8	19	0.0138181818181818	0.613108787230914	0.744273150313819	0.00630551837279368	0.00630551837279368	True
GSE235863	U002	CD8_C08_GZMK	CD8	409	0.297454545454545	0.259733271472266	0.490718649987604	0.0379123547465435	0.0379123547465435	True
GSE235863	U002	CD8_C09_LAYN	CD8	81	0.0589090909090909	0.738995163318341	1.08941121549488	0.0474259193806203	0.0474259193806203	True
GSE235863	U002	CD8_C10_SLC4A10	CD8	75	0.0545454545454545	0.206549984568756	0.325458048708464	0.00366672845119149	0.00366672845119149	True
GSE235863	U002	CD8_C11_MKI67	CD8	4	0.00290909090909091	0.528876245075318	1.0093379750212	0.00155291600942876	0.00155291600942876	True
GSE235863	U003	CD4_C01_CCR7	CD4	2	0.00111731843575419	-0.640559021339922	-0.241837171762618	0.000173084896165226	0.000173084896165226	True
GSE235863	U003	CD4_C02_IL7R	CD4	16	0.00893854748603352	-0.510876174962303	-0.792543286307184	0.00361914174391658	0.00361914174391658	True
GSE235863	U003	CD4_C03_CD44	CD4	3	0.00167597765363128	-0.640559021339922	-0.982830597040379	0.00105513017661975	0.00105513017661975	True
GSE235863	U003	CD4_C04_GZMK	CD4	157	0.0877094972067039	-0.322523526180053	-0.602826976075791	0.017052996354227	0.017052996354227	True
GSE235863	U003	CD4_C05_GNLY	CD4	1	0.000558659217877095	-0.640559021339922	1.03217737370484	-0.000369369010251162	0.000369369010251162	True
GSE235863	U003	CD4_C06_CXCL13	CD4	144	0.0804469273743017	-0.145486867373657	-0.112274741370185	0.00131406036794835	0.00131406036794835	True
GSE235863	U003	CD4_C07_CTLA4	CD4	811	0.453072625698324	0.00767939969451214	-0.152416507403684	-0.000530306684022298	0.000530306684022298	True
GSE235863	U003	CD4_C08_FOXP3	CD4	7	0.00391061452513967	-0.130789677851945	-0.733599565482197	0.00037521271278894	0.00037521271278894	True
GSE235863	U003	CD4_C09_MKI67	CD4	22	0.0122905027932961	0.0175333866405479	-0.0612780281882649	-1.3205055831003e-05	1.3205055831003e-05	True
GSE235863	U003	CD8_C01_LEF1	CD8	5	0.00279329608938547	0.181139334944514	-0.980482053714367	-0.000496100187527518	0.000496100187527518	True
GSE235863	U003	CD8_C02_GPR183	CD8	0	0	NA	NA	0	0	True
GSE235863	U003	CD8_C03_CX3CR1	CD8	122	0.0681564245810056	-0.000814429904150903	0.122122554686628	-6.77885574412645e-06	6.77885574412645e-06	True
GSE235863	U003	CD8_C04_GIMAP4	CD8	1	0.000558659217877095	-0.640559021339922	-0.842055530623808	0.000301333109838131	0.000301333109838131	True
GSE235863	U003	CD8_C05_CCR7	CD8	0	0	NA	NA	0	0	True
GSE235863	U003	CD8_C06_IKZF2	CD8	0	0	NA	NA	0	0	True
GSE235863	U003	CD8_C07_KIR2DL4	CD8	6	0.00335195530726257	0.194907276490598	0.511878471457877	0.000334420688601201	0.000334420688601201	True
GSE235863	U003	CD8_C08_GZMK	CD8	122	0.0681564245810056	-0.0804569982516115	0.157928871177647	-0.000866028444296484	0.000866028444296484	True
GSE235863	U003	CD8_C09_LAYN	CD8	259	0.144692737430168	0.208965528309371	0.85214337259043	0.025765231744475	0.025765231744475	True
GSE235863	U003	CD8_C10_SLC4A10	CD8	101	0.0564245810055866	0.295583025932153	-0.0604965753434326	-0.00100897086069998	0.00100897086069998	True
GSE235863	U003	CD8_C11_MKI67	CD8	11	0.00614525139664804	0.219095545230504	0.899738368158126	0.00121140522441368	0.00121140522441368	True
GSE235863	U004	CD4_C01_CCR7	CD4	15	0.0126156433978133	-0.7365484966233	-0.480677356734723	0.00446646994697841	0.00446646994697841	True
GSE235863	U004	CD4_C02_IL7R	CD4	1	0.000841042893187553	-1.02833375100096	-1.70639070367062	0.00147581089401074	0.00147581089401074	True
GSE235863	U004	CD4_C03_CD44	CD4	98	0.0824222035323802	-0.463981822771866	-0.439469589804514	0.0168063737008996	0.0168063737008996	True
GSE235863	U004	CD4_C04_GZMK	CD4	317	0.266610597140454	-0.349795480113524	-0.460620985380588	0.0429571362303674	0.0429571362303674	True
GSE235863	U004	CD4_C05_GNLY	CD4	0	0	NA	NA	0	0	True
GSE235863	U004	CD4_C06_CXCL13	CD4	31	0.0260723296888141	0.186105356199779	0.210368982686092	0.00102075242064053	0.00102075242064053	True
