state	program	n_patient_states	n_genes	genes_used	beta_per_1SD_PTPN22	ci_lower	ci_upper	p_value	state_order	program_order	ci_excludes_zero	semantic_label	source_status
CD4_Tfh_like	proliferation	20	8	MKI67;TOP2A;STMN1;TUBA1B;TYMS;PCNA;UBE2C;CENPF	0.0998073633166267	-0.240399137615606	0.440013864248859	0.544146922827314	5	10	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	effector_differentiation	20	9	GZMK;CCL5;IFNG;TNF;PRF1;GZMB;FGFBP2;TBX21;EOMES	0.015204514225145	-0.269469784029062	0.299878812479352	0.911599700142115	5	11	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
CD4_Tfh_like	Treg	20	7	FOXP3;IL2RA;CTLA4;TNFRSF18;IKZF2;TIGIT;BATF	-0.0445394353576141	-0.210572585131603	0.121493714416375	0.578808390153697	5	12	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	TCR_activation	24	10	CD3D;CD3E;CD3G;CD247;LCK;FYN;ZAP70;LAT;LCP2;TRAT1	0.231096686223115	0.0115070618279442	0.450686310618286	0.0400687476233499	6	1	TRUE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	NFAT	24	9	NFATC1;NFATC2;NFATC3;RCAN1;EGR1;EGR2;FOS;JUN;IL2	0.00277026860354632	-0.213935543452574	0.219476080659667	0.979041882581493	6	2	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	AP1	24	9	JUN;JUNB;JUND;FOS;FOSB;FOSL1;FOSL2;ATF3;BATF	0.15772873598697	-0.0793622534107718	0.394819725384712	0.181044075850765	6	3	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	NFkB	24	8	NFKB1;NFKB2;REL;RELA;RELB;NFKBIA;TNFAIP3;BCL3	0.0609948817157534	-0.159843908577429	0.281833672008936	0.57181153134323	6	4	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	IFN_response	24	10	IFIT1;IFIT2;IFIT3;ISG15;MX1;OAS1;STAT1;IRF1;IFI6;IFI44L	0.251153887133212	-0.0802648209624258	0.58257259522885	0.129980670796482	6	5	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	IFNG_TNF	24	9	IFNG;TNF;CXCL9;CXCL10;CXCL11;CCL3;CCL4;CCL5;TNFRSF9	0.17390768843988	-0.0694526929386801	0.41726806981844	0.152109030152754	6	6	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	cytotoxicity	24	8	NKG7;GNLY;PRF1;GZMB;GZMH;CTSW;CCL5;KLRD1	0.22106438828833	-0.127958338456997	0.570087115033656	0.201967977522447	6	7	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	exhaustion	24	9	PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;LAYN;BATF	0.18179701949765	-0.0557756926864899	0.419369731681791	0.126467024281913	6	8	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	checkpoint	24	8	PDCD1;CTLA4;LAG3;TIGIT;HAVCR2;CD274;PDCD1LG2;TNFRSF9	0.309501595718413	-0.00175951154093296	0.62076270297776	0.0511941065583963	6	9	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	proliferation	24	8	MKI67;TOP2A;STMN1;TUBA1B;TYMS;PCNA;UBE2C;CENPF	0.232722120734386	-0.0445592837608883	0.51000352522966	0.0955286239401183	6	10	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	effector_differentiation	24	9	GZMK;CCL5;IFNG;TNF;PRF1;GZMB;FGFBP2;TBX21;EOMES	0.207557700224553	-0.0724882217141303	0.487603622163236	0.138174161020183	6	11	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
Treg	Treg	24	7	FOXP3;IL2RA;CTLA4;TNFRSF18;IKZF2;TIGIT;BATF	0.115458454862279	-0.13571824862539	0.366635158349948	0.349980314259993	6	12	FALSE	within-state PTPN22-program association; not absolute program abundance	DIRECT_FROZEN_VALUE
