major_cluster	sub_cluster	state_order	af35_primary	UMAP_1	UMAP_2
CD8	CD8_C05_CCR7	14	0.0749234356253814	4.2594914	5.69806
CD4	CD4_C01_CCR7	1	-0.340293091599424	-2.222807	-1.5914851
CD4	CD4_C01_CCR7	1	-0.247115143787043	-1.8483005	-2.0366392
CD4	CD4_C01_CCR7	1	-0.135049194122244	-2.2450242	-2.342347
CD4	CD4_C01_CCR7	1	0.000501566971752221	0.80240303	0.054916963
CD8	CD8_C10_SLC4A10	19	0.210690111915743	2.6633794	8.980528
CD8	CD8_C01_LEF1	10	-0.325035828993416	0.45245802	5.187427
CD4	CD4_C03_CD44	3	-0.363375641587395	1.0356542	-0.91393864
CD4	CD4_C01_CCR7	1	-0.194636724872055	-1.5467695	-0.42502573
CD4	CD4_C02_IL7R	2	0.180893772205445	1.2733309	0.09360104
CD4	CD4_C04_GZMK	4	-0.17354721574737	3.2550364	3.0662796
CD4	CD4_C01_CCR7	1	-0.12520300607647	1.1947914	2.358061
CD4	CD4_C03_CD44	3	0.0946466703170404	0.9031736	1.6219416
CD4	CD4_C03_CD44	3	-0.377989853706051	0.009881915	0.026541302
CD8	CD8_C01_LEF1	10	-0.119326892925198	-0.97441953	4.550082
CD8	CD8_C10_SLC4A10	19	0.266191703867051	3.2735422	10.13228
CD8	CD8_C01_LEF1	10	-0.311513345446654	1.1682266	2.765904
CD4	CD4_C03_CD44	3	-0.0188825832871383	2.4467368	0.3183243
CD4	CD4_C08_FOXP3	8	0.127339382543904	-3.626723	3.1002202
CD4	CD4_C01_CCR7	1	-0.157383342329512	0.18865706	-1.5174594
CD4	CD4_C01_CCR7	1	-0.355041229276017	-1.0570965	-2.9685943
CD4	CD4_C08_FOXP3	8	0.0655034494354139	-3.9823127	3.0139675
CD4	CD4_C04_GZMK	4	-0.0773798431428768	0.997927	3.4444625
CD8	CD8_C01_LEF1	10	-0.127077557585826	0.08246934	5.3963346
CD4	CD4_C01_CCR7	1	0.108217545041716	-1.2019471	1.425187
CD4	CD4_C02_IL7R	2	-0.375018620984901	-0.1579237	-3.5372586
CD8	CD8_C01_LEF1	10	-0.196027739843726	-0.097979985	2.4306483
CD8	CD8_C01_LEF1	10	-0.19627876483233	0.32123247	4.022502
CD4	CD4_C01_CCR7	1	0.0929186890563285	-0.7376555	1.9009868
CD4	CD4_C01_CCR7	1	-0.0235970999866259	-0.06934143	-0.21255448
CD4	CD4_C01_CCR7	1	-0.170116971197152	-0.9644523	-0.097474314
CD4	CD4_C01_CCR7	1	0.161866618827328	-1.3403039	2.916963
CD8	CD8_C01_LEF1	10	0.134570927503855	-0.13299035	4.8310223
CD4	CD4_C02_IL7R	2	-0.33108342452879	2.2889733	-2.1083107
CD4	CD4_C03_CD44	3	-0.29943563473888	0.24064077	1.8570042
CD4	CD4_C01_CCR7	1	-0.412166983692814	-3.4212587	-3.051101
CD4	CD4_C04_GZMK	4	-0.0916820079829344	3.4223683	2.5258954
CD4	CD4_C08_FOXP3	8	0.353050908652249	-4.165781	3.2300456
CD8	CD8_C01_LEF1	10	-0.203264129596883	-0.29228324	2.883067
CD8	CD8_C01_LEF1	10	-0.28385503256332	0.9433278	5.8507886
CD8	CD8_C01_LEF1	10	-0.138316980336952	-0.17265125	4.0347233
CD4	CD4_C04_GZMK	4	0.106820502957086	0.7471147	4.730876
CD4	CD4_C02_IL7R	2	-0.32839184639233	0.6778793	-3.4956696
CD4	CD4_C03_CD44	3	-0.0548611014183215	3.5208628	1.1493338
CD8	CD8_C06_IKZF2	15	0.0906555591013807	6.780029	0.83373624
CD8	CD8_C01_LEF1	10	-0.0291822555865091	0.027681626	4.321067
CD8	CD8_C01_LEF1	10	-0.348329460385127	0.18298525	3.1873028
CD4	CD4_C01_CCR7	1	-0.312173332201137	-3.0716164	-2.7877753
CD8	CD8_C01_LEF1	10	-0.215561566550279	0.3327646	3.293888
CD8	CD8_C01_LEF1	10	-0.283919117825451	0.111204475	2.5313082
CD8	CD8_C01_LEF1	10	0.166747522985811	-0.117768414	4.499412
CD4	CD4_C01_CCR7	1	-0.00865667647792488	-1.5216459	1.6881299
CD4	CD4_C03_CD44	3	-0.379095907796307	0.28890687	0.38042867
CD4	CD4_C01_CCR7	1	-0.392566165374235	-1.8848937	-2.5370452
CD8	CD8_C01_LEF1	10	-0.254839688739163	0.5839246	2.489551
CD8	CD8_C01_LEF1	10	-0.434210674652507	0.33139378	2.8719726
CD4	CD4_C01_CCR7	1	-0.3574879193456	-0.4665987	0.3168903
CD8	CD8_C01_LEF1	10	-0.128169402779286	0.21362571	3.2313483
CD8	CD8_C01_LEF1	10	-0.168246798679033	-0.023939596	4.0239244
